tweet_id,author_id,created_at,inbound_text,brand_outbound_text,intent
TWEET-1001,User_24592,2026-09-10T08:00:00Z,Urgent! @AppleSupport I was charged twice for my subscription this month. Can I get a refund?,Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1002,User_46048,2026-09-10T08:00:00Z,"Hi @AppleSupport, There is a mystery charge of $19.99 on my credit card from Apple ID. I didn't buy anything!",Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1003,User_39256,2026-09-10T08:00:00Z,@AppleSupport How do I cancel my monthly iCloud storage plan?,Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1004,User_23434,2026-09-10T08:00:00Z,@AppleSupport My payment method was declined for my App Store update. How do I fix it?,Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1005,User_81482,2026-09-10T08:00:00Z,Urgent! @AppleSupport I received an email saying my account is locked due to billing issues. Is this real?,Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1006,User_87397,2026-09-10T08:00:00Z,"Hi @AppleSupport, Can I transfer my paid app purchases from one Apple ID to another?",Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1007,User_14165,2026-09-10T08:00:00Z,Need help: I got charged for a free trial that I canceled yesterday!,Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1008,User_22280,2026-09-10T08:00:00Z,"Hi @AppleSupport, Someone hacked into my Apple ID and changed my credit card info!",Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1009,User_40495,2026-09-10T08:00:00Z,@AppleSupport Why was taxes added to my subscription invoice?,Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1010,User_88907,2026-09-10T08:00:00Z,Can I pay my subscription using a gift card balance?,Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1011,User_83563,2026-09-10T08:00:00Z,"Hi @AppleSupport, I was charged twice for my subscription this month. Can I get a refund?",Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1012,User_95181,2026-09-10T08:00:00Z,@AppleSupport There is a mystery charge of $19.99 on my credit card from Apple ID. I didn't buy anything!,Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1013,User_81426,2026-09-10T08:00:00Z,Urgent! @AppleSupport How do I cancel my monthly iCloud storage plan?,Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1014,User_38893,2026-09-10T08:00:00Z,Need help: My payment method was declined for my App Store update. How do I fix it?,Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1015,User_87236,2026-09-10T08:00:00Z,Need help: I received an email saying my account is locked due to billing issues. Is this real?,Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1016,User_10851,2026-09-10T08:00:00Z,"Hey team, Can I transfer my paid app purchases from one Apple ID to another?",Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1017,User_65392,2026-09-10T08:00:00Z,@AppleSupport I got charged for a free trial that I canceled yesterday!,Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1018,User_46421,2026-09-10T08:00:00Z,"Hey team, Someone hacked into my Apple ID and changed my credit card info!",Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1019,User_38221,2026-09-10T08:00:00Z,@AppleSupport Why was taxes added to my subscription invoice?,Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1020,User_23396,2026-09-10T08:00:00Z,"Hey team, Can I pay my subscription using a gift card balance?",Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1021,User_59797,2026-09-10T08:00:00Z,"Hi @AppleSupport, I was charged twice for my subscription this month. Can I get a refund?",Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1022,User_57052,2026-09-10T08:00:00Z,"Hi @AppleSupport, There is a mystery charge of $19.99 on my credit card from Apple ID. I didn't buy anything!",Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1023,User_89131,2026-09-10T08:00:00Z,"Hey team, How do I cancel my monthly iCloud storage plan?",Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1024,User_15695,2026-09-10T08:00:00Z,"Hey team, My payment method was declined for my App Store update. How do I fix it?",Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1025,User_70217,2026-09-10T08:00:00Z,Urgent! @AppleSupport I received an email saying my account is locked due to billing issues. Is this real?,Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
TWEET-1026,User_26361,2026-09-10T08:00:00Z,Can I transfer my paid app purchases from one Apple ID to another?,Thank you for reaching out. Please DM us your details for support.,ACCOUNT_BILLING
